id_vei,id_uo_vei,id_motorista,id_uo_motorista,distancia_percorrida_km,qtd_banguela,qtd_curvas,qtd_aceleracoes,qtd_frenagens,qtd_vel_faixa_1,qtd_vel_faixa_2,qtd_vel_faixa_3,tempo_vel_faixa_1,tempo_vel_faixa_2,tempo_vel_faixa_3,qtd_vel_via_faixa_1,qtd_vel_via_faixa_2,qtd_vel_via_faixa_3,tempo_vel_via_faixa_1,tempo_vel_via_faixa_2,tempo_vel_via_faixa_3,qtd_manuseio_celular,qtd_fadiga_motorista,qtd_distracao_motorista,qtd_uso_cigarro,score_geral,rank
7913,3581,636634.0,2950.0,730.846,0.0,0.0,0.0,0.0,6.0,0.0,0.0,54.0,0.0,0.0,5.0,1.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,89.69231092003878,bom
63515,4026,573182.0,4026.0,62.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
52716,2855,636968.0,2950.0,5.765,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,regular
7898,3581,636847.0,2950.0,52.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
7695,2868,636842.0,2950.0,656.199,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.56822041281177,otimo
62657,3880,394843.0,3880.0,28.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
62914,4263,420106.0,4263.0,27.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
62590,3866,449528.0,3866.0,65.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
21662,2870,636565.0,2950.0,322.12,0.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,6.0,42.0,0.0,4643.0,0.0,0.0,0.0,0.0,46.27468024338756,ruim
7735,2871,636624.0,2950.0,392.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,97.79443825190569,otimo
68466,93,636991.0,2950.0,350.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,104.0,0.0,208.0,0.0,0.0,0.0,0.0,50.0,ruim
65184,4013,440539.0,4013.0,198.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
65184,4013,440539.0,4013.0,11.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
68465,93,636543.0,2950.0,379.206,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,47.0,8.0,1.0,0.0,0.0,0.0,0.0,85.98299253352181,bom
64338,4027,565276.0,4027.0,120.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
4497,2868,636827.0,2950.0,13.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
7921,2870,636562.0,2950.0,451.24,0.0,0.0,0.0,2.0,2.0,0.0,0.0,68.0,0.0,0.0,14.0,6.0,9.0,3273.0,2745.0,5568.0,0.0,0.0,0.0,0.0,47.340661288892825,ruim
65562,4306,440147.0,4306.0,51.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
60577,3313,636578.0,2950.0,463.81,37.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.89219723593713,regular
65034,4221,453660.0,4221.0,54.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
9892,3327,636608.0,2950.0,533.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
68460,93,636536.0,2950.0,410.955,0.0,0.0,0.0,0.0,9.0,0.0,0.0,198.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.864656714238784,regular
62912,4262,420101.0,4262.0,9.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
56873,2868,636915.0,2950.0,397.885,0.0,0.0,0.0,2.0,3.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.91590534953568,otimo
59089,3315,636680.0,2950.0,678.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
12640,2869,636988.0,2950.0,433.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,75.99039615846338,regular
20861,3581,636764.0,2950.0,395.74,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1352.0,0.0,0.0,0.0,0.0,0.0,38.4772830646384,pessimo
62634,3890,394823.0,3890.0,147.768,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.93958096475556,otimo
62648,3885,410277.0,3885.0,6.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
29027,2871,636776.0,2950.0,483.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
30888,3321,636997.0,2950.0,454.745,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,60.03621077013858,regular
62641,3887,394832.0,3887.0,112.71,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,bom
63518,4026,417631.0,4026.0,58.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
4927,2868,636984.0,2950.0,447.851,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,5.0,2.0,1.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,80.42950296713268,bom
13592,2870,636612.0,2950.0,501.83,14.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,9.0,0.0,104.0,2701.0,0.0,0.0,0.0,0.0,37.0341217809484,pessimo
