id_motorista,distancia_percorrida_km,qtd_banguela,qtd_curvas,qtd_aceleracoes,qtd_frenagens,qtd_vel_faixa_1,qtd_vel_faixa_2,qtd_vel_faixa_3,tempo_vel_faixa_1,tempo_vel_faixa_2,tempo_vel_faixa_3,qtd_vel_via_faixa_1,qtd_vel_via_faixa_2,qtd_vel_via_faixa_3,tempo_vel_via_faixa_1,tempo_vel_via_faixa_2,tempo_vel_via_faixa_3,qtd_manuseio_celular,qtd_fadiga_motorista,qtd_distracao_motorista,qtd_uso_cigarro,score_geral,rank
400874.0,1674.7509999999997,4.0,0.0,0.0,0.0,18.0,10.0,0.0,186.0,144.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.74582226355632,otimo
400875.0,1884.681,29.0,0.0,0.0,0.0,21.0,0.0,0.0,645.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.63599774203145,otimo
400876.0,1490.5389999999998,1.0,2.0,1.0,14.0,88.0,3.0,0.0,1271.0,145.0,0.0,12.0,6.0,2.0,115.0,185.0,230.0,0.0,0.0,0.0,0.0,89.79633043836574,bom
400877.0,1740.7960000000003,0.0,9.0,5.0,0.0,19.0,0.0,0.0,143.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.49505385350889,otimo
400880.0,2075.665000000001,0.0,0.0,0.0,133.0,52.0,0.0,0.0,282.0,0.0,0.0,43.0,16.0,12.0,457.0,1241.0,850.0,0.0,0.0,0.0,0.0,78.0209363759683,regular
400881.0,2788.419,0.0,0.0,0.0,1.0,334.0,81.0,10.0,3796.0,7296.0,1268.0,85.0,24.0,22.0,2755.0,830.0,2945.0,0.0,0.0,0.0,0.0,55.95380550684802,ruim
400885.0,119.52700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
400887.0,604.6009999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,3.0,123.0,21.0,0.0,0.0,0.0,0.0,0.0,98.05861735988621,otimo
400893.0,30.644000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
400896.0,16.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,otimo
400898.0,633.751,171.0,0.0,0.0,1.0,26.0,0.0,0.0,170.0,0.0,0.0,2.0,0.0,1.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,81.16584385758537,bom
400899.0,1849.9279999999997,0.0,0.0,0.0,2.0,608.0,26.0,0.0,25453.0,5805.0,0.0,134.0,1.0,2.0,11559.0,0.0,0.0,0.0,0.0,0.0,0.0,84.72603704075055,bom
400901.0,2195.5689999999995,0.0,0.0,2.0,2.0,278.0,116.0,0.0,15264.0,27839.0,0.0,66.0,53.0,30.0,1311.0,7983.0,4249.0,0.0,0.0,0.0,0.0,79.58663821842218,regular
400902.0,511.924,208.0,0.0,1.0,0.0,7.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.07463879271178,bom
400904.0,423.03200000000004,2.0,0.0,0.0,0.0,5.0,1.0,0.0,65.0,49.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.77233817157605,otimo
400907.0,1674.6319999999998,94.0,0.0,1.0,0.0,161.0,119.0,20.0,5390.0,28356.0,10209.0,22.0,7.0,1.0,208.0,540.0,208.0,0.0,0.0,0.0,0.0,82.30273488538091,bom
400908.0,3616.82,0.0,0.0,0.0,0.0,640.0,140.0,19.0,11812.0,12933.0,3868.0,125.0,19.0,25.0,4464.0,2037.0,3260.0,0.0,0.0,0.0,0.0,55.527234723105266,ruim
400912.0,1246.13,10.0,0.0,0.0,0.0,34.0,0.0,0.0,247.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.61130304340746,otimo
